1,Tomas,Alfredson
2,Coky,Giedroyc
3,Brendan,Walsh
4,Steven,Spielberg
5,Stephen,Irwin
6,Mez,Tharatorn
7,Alf,Sjberg
8,Lasse,berg
9,Jon,Holmberg
10,David,S
11,Hans,Alfredson
12,Jos,Esteban
13,Todd,Phillips
14,George,Lucas
15,David,Yates
16,Lasse,Hallstrm
17,Robert,Breer
18,Arne,Mattsson
19,Gran,Carmback
20,Tsutomu,Mizushima
21,Abir,Sengupta
22,Peter,HoSun
23,Francis,Veber
24,Ishir,Honda
25,Mika,Ninagawa
26,Mikio,Naruse
27,Miwa,Nishikawa
28,Kon,Ichikawa
29,Ryta,Inoue
30,Edward,Zwick
31,Michel,Ocelot
32,Bertrand,Tavernier
33,Lech,Majewski
34,Don,Argott
35,Bobby,Miller
36,Woody,Allen
37,Xinyun,Li
38,Cole,Mueller
39,Elbert,van
40,Jiwon,Lee
41,Moyoung,Jin
42,Robert,Redford
43,Jinseung,Lim
44,Yang,Zhang
45,Eric,Barbier
46,Danny,Strong
47,Andrey,Zvyagintsev
48,JoonHyeong,Heo
49,Joe,Sill
50,Rob,Reiner
51,Gary,Wang
52,Kwangkuk,Lee
53,Todd,Haynes
54,SungHyun,Choi
55,Patrice,Leconte
56,DaJung,Nam
57,SeungWon,Lee
58,Beomsik,Jeong
59,Yoshihiro,Nakamura
60,Byeongheon,Lee
61,KookHee,Choi
62,Carl,T
63,Christopher,Banks
64,Jon,Abrahams
65,Toby,Tobias
66,Lewis,Seiler
67,Kim,Uiseok
68,Hongsun,Kim
69,Eonhie,Lee
70,Matt,Eskandari
71,JoonHwan,Jang
72,Kenji,Tanigaki
73,Ben,Stassen
74,Tate,Taylor
75,Susi,Jirkuff
76,Masaaki,Yuasa
77,Gregory,Kirchhoff
78,Erec,Brehmer
79,Pablo,Larran
80,Josh,Trank
81,David,Jarab
82,Phillip,Noyce
83,Lydia,Dean
84,Robert,Schwentke
85,Barry,Avrich
86,Pupi,Avati
87,Hsinyao,Huang
88,Maite,Alberdi
89,J,Blakeson
90,Alex,Merkin
91,Adrian,Bol
92,Seth,Larney
93,Reinhold,Schnzel
94,Andrew,Heckler
95,Alexander,Nanau
96,Gaspar,No
97,Marcell,Jankovics
98,Prateek,Vats
99,Mark,Newton
100,Andrew,Jones
101,Guo,Yulong
102,Akiyo,Fujimura
103,Hugo,Glin
104,Yuriy,Ozerov
105,Xinyu,Qiu
106,Mikhal,Hers
107,Jan,Komasa
108,Russell,Mulcahy
109,Tmas,Gislason
110,Hella,Joof
111,Elliott,Lester
112,Vikram,Bhatt
113,Derrick,Borte
114,Dawn,Porter
115,Alex,Cox
116,Sam,Raimi
117,Michael,Dinner
118,Aleks,Horvat
119,JeanFranois,Rivard
120,Michele,Lupo
121,Antoine,Fuqua
122,Peter,Hutchings
123,Claude,Chabrol
124,Sophie,Barthes
125,Babis,Makridis
126,Morten,Arnfred
127,Stella,Meghie
128,Kei,Watanabe
129,Hong,Khaou
130,Asri,Bendacha
131,Vinay,Bharadwaj
132,ChangGeun,Lee
133,ric,Rohmer
134,Makoto,Shinkai
135,Jeongwon,Shin
136,Raman,Hui
137,H,Tjut
138,Fred,M
139,Lars,Montag
140,Paul,Greengrass
141,Paulo,Machline
142,Mats,Lindberg
143,Eva,Srhaug
144,Matt,Wolf
145,Doug,Liman
146,Matt,Chow
147,Leung,Chun
148,Farhan,Akhtar
149,Sunghee,Jo
150,Michle,Ohayon
151,Nadia,Tass
152,Joseph,ChenChieh
153,Hubert,Davis
154,Ksaku,Yamashita
155,Mauro,Lima
156,Mostofa,Sarwar
157,Jingming,Guo
158,Simon,Sek
159,Martn,Rosete
160,Teresa,Fabik
161,Manne,Lindwall
162,Julien,Leclercq
163,Arne,Sucksdorff
164,Ivan,Hedqvist
165,Raoul,Walsh
166,Gustaf,Edgren
167,Erik,Leijonborg
168,Victor,Sjstrm
169,Gunnar,Olsson
170,Mauritz,Stiller
171,Joseph,Anthony
172,John,Woo
173,Pontus,Klnge
174,Ryan,Sage
175,Esteban,Crespo
176,Bartosz,Paduch
177,Terence,Fisher
178,Hideo,Nakata
179,Setsur,Wakamatsu
180,Shinji,Kuma
181,Amanda,Lipitz
182,Cem,Yilmaz
183,Ashraf,Fayeq
184,Osama,Fawzy
185,Johnnie,To
186,Kordian,Piwowarski
187,Blake,Edwards
188,Sam,Liu
189,Marc,Rothemund
190,Marco,Pontecorvo
191,Charles,Belot
192,Gersh,Kgamedi
193,John,Leguizamo
194,Lars,von
195,David,P
196,Takashi,Miike
197,Andy,Tohill
198,James,Parrott
199,agan,Irmak
200,L,Gustavo
201,Dmitriy,Kiselev
202,Jeff,Fowler
203,David,Koepp
204,Akiyoshi,Kimata
205,Don,Scardino
206,Stepan,Altrichter
207,Glendyn,Ivin
208,Jongpil,Lee
209,Jeo,Baby
210,Walter,Colmes
211,Viktor,Shamirov
212,Dimitri,Logothetis
213,Denis,Delic
214,JanOle,Gerster
215,Roy,Ward
216,Anca,Miruna
217,Galina,Miklnov
218,Lucian,Pintilie
219,Adina,Pintilie
220,Dan,Chisu
221,Andrei,Gruzsniczki
222,Andrei,Gheorghe
223,Horatiu,Malaele
224,Aurel,Miheles
225,Alexandru,Mavrodineanu
226,Toma,Enache
227,Dorin,Marcu
228,Thomas,Vinterberg
229,Yoshihiro,Hanno
230,Peter,T
231,Carmine,Gallone
232,Andrew,Erwin
233,Ramin,Bahrani
234,Norman,Jewison
235,RZA,
