Movie Id ,Title,Genre,Tags,Languages,Series or Movie,Runtime,Director,Director_id,Writer,Actors,View Rating,Awards Received,Awards Nominated For,Boxoffice,Netflix Release Date
1,HOW TO BUILD A GIRL,Comedy,"Dramas,Comedies,Films Based on Books,British",English,Movie,120,Coky Giedroyc  ,1,Caitlin Moran,"Paddy Considine, Cleo, Beanie Feldstein, Dónal Finn",R,1,0,"70,632",3/4/2021
2,Snowroller,Comedy,"Sports Movies,Sports Comedies,Comedies,Swedish Movies",Swedish,Movie,120,Lasse Åberg     ,2,"Lasse Åberg, Bo Jonsson","Jon Skolmen, Cecilia Walton, Lasse Åberg, Eva Millberg",Not Rated,0,0,,3/3/2021
3,The Closet,Comedy,"Korean Movies,Horror Movies,Mysteries",French,Movie,120,Francis Veber,3,Francis Veber,"Gérard Depardieu, Michèle Laroque, Daniel Auteuil, Thierry Lhermitte",R,1,1,"6,678,894",3/1/2021
4,5 Minute,Comedy,"Social Issue Dramas,Dramas,LGBTQ Movies,Independent Movies",English,Movie,120,Dan Chisu,4,,Jeff Lewis,Not Rated,0,3,,3/1/2021
5,All of Us,Comedy,"Belgian Movies,Dramas,Documentary Films",English,Movie,120,Willem Wallyn,5,"Jada Pinkett Smith, Will Smith, Betsy Borns","Duane Martin, Khamani Griffin, LisaRaye McCoy, Tony Rock",Not Rated,0,12,,3/1/2021
6,The Loop,Comedy,"Movies Based on Real Life,Action & Adventure,Dramas,Crime Movies,Polish Movies,Crime Dramas,Crime Action & Adventure,Polish Dramas,Gangster Movies",English,Movie,120,Armando Iannucci,6,"Will Gluck, Pam Brady","Eric Christian Olsen, Philip Baker Hall, Mimi Rogers, Bret Harrison",Not Rated,0,1,,2/20/2021
7,Betty,Comedy,"Dramas,Movies Based on Books,French",English,Movie,120,Claude Chabrol,7,,"Kabrina Adams, Ajani Russell, Nina Moran, Dede Lovelace",TV-14,0,1,,2/15/2021
8,12 Golden Ducks,Comedy,"Dark Comedies,Comedies,Hong Kong Films",Cantonese,Movie,120,Matt Chow,8,Matt Chow,"Wilfred Lau, Louis Koo, Sandra Kwan Yue Ng, Anthony Chau-Sang Wong",Not Rated,0,0,,2/8/2021
9,Ghost Buddies,Comedy,"Comedies,Malaysian Films",Mandarin,Movie,120,Simon Sek,9,,"Ching Miau Lim, Maggie Siu, Vivian Tok, Mark Lee",Not Rated,0,0,,2/4/2021
10,Blippi,Family,"Education for Kids,Kids&#39; TV",German,Series,30,Stevin John ,10,,Stevin John,TV-Y,0,1,,2/1/2021
