Title,Genre,Languages,Type,CountryAvailability,Runtime,Director,ViewRating,AwardsReceived,AwardsNominatedFor,Boxoffice,NetflixReleaseDate
Lets Fight Ghost,Crime,Swedish,Series,Thailand,30,Tomas Alfredson,R,74,57,2122065,2021-03-04
HOW TO BUILD A GIRL,Comedy,English,Movie,Canada,120,Coky Giedroyc,R,1,0,70632,2021-03-04
Centigrade,Drama,English,Movie,Canada,120,Brendan Walsh,Unrated,0,0,16263,2021-03-04
ANNE,Drama,Turkish,Series,Belgium,30,Steven Spielberg ,Unrated,1,0,0,2021-03-04
Moxie,Animation,English,Movie,Lithuania,120,Stephen Irwin,Unrated,0,4,0,2021-03-04
The ConHeartist,Comedy,Thai,Movie,Thailand,170,Mez Tharatorn,Unrated,0,0,0,2021-03-03
Gleboka woda,Drama,Polish,Series,Poland,30,Steven Spielberg ,Unrated,2,4,0,2021-03-03
Instynkt,Crime,Polish,Series,Poland,30,Steven Spielberg ,Unrated,0,0,0,2021-03-03
Only a Mother,Drama,Swedish,Movie,Lithuania,120,Alf Sjberg,Unrated,2,1,0,2021-03-03
Snowroller,Comedy,Swedish,Movie,Lithuania,120,Lasse berg,Unrated,0,0,0,2021-03-03
Sunes Summer,Comedy,Swedish,Movie,Lithuania,120,Jon Holmberg,Unrated,0,7,0,2021-03-03
The Invisible,Crime,English,Movie,Lithuania,120,David S Goyer,PG-13,0,1,20578909,2021-03-03
The Simple Minded Murderer,Drama,Scanian,Movie,Lithuania,120,Hans Alfredson,Unrated,7,2,0,2021-03-03
The StigHelmer Story,Comedy,Swedish,Movie,Lithuania,120,Lasse berg,Unrated,0,1,0,2021-03-03
To Kill a Child,Short,Spanish,Movie,Lithuania,30,Jos Esteban Alenda,Unrated,2,5,0,2021-03-03
Joker,Crime,English,Movie,Lithuania,120,Todd Phillips,R,112,228,335451311,2021-03-03
I,Action,English,Movie,Lithuania,120,George Lucas,PG,26,69,474544677,2021-03-03
Harrys Daughters,Adventure,English,Movie,Lithuania,120,David Yates,PG-13,46,94,381409310,2021-03-03
Gyllene Tider,Music,Swedish,Movie,Lithuania,120,Lasse Hallstrm,Unrated,0,0,0,2021-03-03
False As Water,Drama,Swedish,Movie,Lithuania,120,Hans Alfredson,Unrated,3,0,0,2021-03-03
Bang,Short,English,Movie,Lithuania,120,Robert Breer,Unrated,0,0,0,2021-03-03
A Guest Is Coming,Thriller,Swedish,Movie,Lithuania,120,Arne Mattsson,Unrated,0,0,0,2021-03-03
1939,Drama,Swedish,Movie,Lithuania,170,Gran Carmback,Unrated,0,0,0,2021-03-03
Girls und Panzer das Finale,Animation,Japanese,Series,Japan,30,Tsutomu Mizushima,Unrated,0,0,0,2021-03-02
Indoo Ki Jawani,Comedy,Hindi,Movie,Canada,120,Abir Sengupta,Unrated,0,0,0,2021-03-02
The Coroner,Crime,English,Series,Canada,30,Steven Spielberg ,TV-14,0,0,0,2021-03-02
Brave New World,Drama,English,Series,Poland,30,Steven Spielberg ,TV-MA,0,0,0,2021-03-02
Comrades Almost a Love Story,Drama,Cantonese,Movie,South Korea,120,Peter HoSun Chan,Unrated,23,8,17676,2021-03-01
The Closet,Comedy,French,Movie,South Korea,120,Francis Veber,R,1,1,6678894,2021-03-01
The Mysterians,Action,Japanese,Movie,Japan,120,Ishir Honda,TV-Y7,0,0,975000,2021-03-01
No Longer Human,Biography,Japanese,Movie,Japan,170,Mika Ninagawa,Unrated,0,2,0,2021-03-01
Repast,Drama,Japanese,Movie,Japan,120,Mikio Naruse,Unrated,9,0,0,2021-03-01
Sway,Crime,Japanese,Movie,Japan,120,Miwa Nishikawa,Unrated,10,4,0,2021-03-01
When a Woman Ascends the Stairs,Drama,Japanese,Movie,Japan,120,Mikio Naruse,Unrated,0,0,0,2021-03-01
Yearning,Drama,Japanese,Movie,Japan,120,Mikio Naruse,Unrated,1,0,0,2021-03-01
Gorath,Action,Japanese,Movie,Japan,120,Ishir Honda,Unrated,0,0,0,2021-03-01
Ginza Cosmetics,Drama,Japanese,Movie,Japan,120,Mikio Naruse,Unrated,0,0,0,2021-03-01
Floating Clouds,Drama,Japanese,Movie,Japan,170,Mikio Naruse,Unrated,9,0,0,2021-03-01
Cheer Boys,Animation,Japanese,Movie,Japan,120,Steven Spielberg ,TV-14,0,0,0,2021-03-01
365 Nights,Comedy,Japanese,Movie,Japan,120,Kon Ichikawa,Unrated,0,0,0,2021-03-01
Restart After Come Back Home,Drama,Japanese,Movie,Japan,120,Ryta Inoue,Unrated,0,0,0,2021-03-01
Trial by Fire,Biography,English,Movie,United Kingdom,170,Edward Zwick,R,0,0,148504,2021-03-01
5 Minute,Comedy,English,Movie,Romania,120,Steven Spielberg ,Unrated,0,3,0,2021-03-01
Dilili in Paris,Animation,French,Movie,Germany,120,Michel Ocelot,PG,1,2,0,2021-03-01
All of Us,Comedy,English,Movie,Netherlands,120,Steven Spielberg ,Unrated,0,12,0,2021-03-01
Years and Years,Drama,English,Series,Belgium,30,Steven Spielberg ,TV-MA,1,14,0,2021-03-01
The New Pope,Drama,English,Series,Belgium,30,Steven Spielberg ,TV-MA,4,0,0,2021-03-01
Life and Nothing But,Drama,French,Movie,France,170,Bertrand Tavernier,PG,9,14,0,2021-03-01
Let Joy Reign Supreme,Drama,French,Movie,France,120,Bertrand Tavernier,Unrated,5,3,0,2021-03-01
Coup de Torchon,Comedy,French,Movie,France,170,Bertrand Tavernier,Unrated,2,11,0,2021-03-01
Valley of the Gods,Adventure,English,Movie,Poland,170,Lech Majewski,TV-14,0,2,0,2021-03-01
Framing John DeLorean,Documentary,English,Movie,Poland,120,Don Argott,Unrated,0,0,145625,2021-03-01
Critters Attack,Comedy,English,Movie,Poland,120,Bobby Miller,R,0,0,0,2021-03-01
The Bold Type,Drama,English,Series,Lithuania,30,Steven Spielberg ,TV-14,2,14,0,2021-03-01
Alice,Comedy,English,Series,Lithuania,30,Woody Allen,PG-13,1,7,7331647,2021-03-01
Lobster Cop,Comedy,Mandarin,Movie,South Korea,120,Xinyun Li,Unrated,0,0,85693,2021-02-28
Magic hour,Crime,English,Movie,South Korea,120,Cole Mueller,Unrated,0,0,0,2021-02-28
Marionette,Mystery,English,Movie,South Korea,120,Elbert van Strien,Unrated,3,3,0,2021-02-28
Miss Baek,Drama,Korean,Movie,South Korea,120,Jiwon Lee,Unrated,10,16,0,2021-02-28
Old Marine Boy,Documentary,Korean,Movie,South Korea,120,Moyoung Jin,Unrated,0,0,0,2021-02-28
Ordinary People,Drama,English,Movie,South Korea,120,Robert Redford,R,19,14,54766923,2021-02-28
Outdoor Begins,Comedy,Korean,Movie,South Korea,120,Jinseung Lim,Unrated,0,0,0,2021-02-28
Paths of the Soul,Drama,Tibetan,Movie,South Korea,120,Yang Zhang,Unrated,5,7,31747,2021-02-28
Promise at Dawn,Biography,French,Movie,South Korea,170,Eric Barbier,Unrated,1,7,0,2021-02-28
Rebel in the Rye,Biography,English,Movie,South Korea,120,Danny Strong,PG-13,0,0,378294,2021-02-28
The Return,Drama,Russian,Movie,South Korea,120,Andrey Zvyagintsev,Unrated,34,19,504256,2021-02-28
The Rookies,Crime,English,Movie,South Korea,120,Steven Spielberg ,Unrated,0,0,0,2021-02-28
Snatch Up,Drama,English,Movie,South Korea,120,JoonHyeong Heo,Unrated,0,0,0,2021-02-28
Stray,Action,English,Movie,South Korea,120,Joe Sill,Unrated,0,0,0,2021-02-28
Stand by Me,Adventure,English,Movie,South Korea,120,Rob Reiner,R,5,11,52287414,2021-02-28
Tea Pets,Animation,Chinese,Movie,South Korea,120,Gary Wang,Unrated,0,1,0,2021-02-28
A Tiger In Winter,Drama,Korean,Movie,South Korea,120,Kwangkuk Lee,Unrated,0,1,0,2021-02-28
The Three Little Pigs,Animation,English,Movie,South Korea,120,Steven Spielberg ,Unrated,0,0,0,2021-02-28
Wonderstruck,Adventure,English,Movie,South Korea,120,Todd Haynes,PG,1,33,1060377,2021-02-28
Keys To The Heart,Comedy,Korean,Movie,South Korea,170,SungHyun Choi,Unrated,0,1,75134,2021-02-28
Intimate Strangers,Drama,French,Movie,South Korea,120,Patrice Leconte,R,0,3,2110589,2021-02-28
Homme Fatale,Comedy,Korean,Movie,South Korea,120,DaJung Nam,Unrated,0,0,0,2021-02-28
Happy Bus Day,Comedy,Korean,Movie,South Korea,120,SeungWon Lee,Unrated,2,2,0,2021-02-28
Gonjiam Haunted Asylum,Horror,Korean,Movie,South Korea,120,Beomsik Jeong,Unrated,2,9,115252,2021-02-28
Golden Slumber,Action,Japanese,Movie,South Korea,120,Yoshihiro Nakamura,Unrated,0,1,0,2021-02-28
Extreme Job,Action,Korean,Movie,South Korea,120,Byeongheon Lee,Unrated,7,27,1565885,2021-02-28
Default,Drama,Korean,Movie,South Korea,120,KookHee Choi,Unrated,3,6,203775,2021-02-28
Criticsized,Action,English,Movie,South Korea,120,Carl T Evans,Unrated,0,0,0,2021-02-28
Communication  Lies,Short,English,Movie,South Korea,120,Christopher Banks,Unrated,0,0,0,2021-02-28
Clover,Comedy,English,Movie,South Korea,120,Jon Abrahams,Unrated,0,0,0,2021-02-28
Blood Orange,Thriller,English,Movie,South Korea,120,Toby Tobias,Unrated,0,0,0,2021-02-28
The Big Shot,Crime,English,Movie,South Korea,120,Lewis Seiler,Approved,0,0,0,2021-02-28
