Title,Genre,Languages,Type,CountryAvailability,Runtime,Director,ViewRating,AwardsReceived,AwardsNominatedFor,Boxoffice,NetflixReleaseDate,Year
Lets Fight Ghost,Crime,Swedish,Series,Thailand,30,Tomas Alfredson,R,74,57,2122065,3/4/2021,2021
HOW TO BUILD A GIRL,Comedy,English,Movie,Canada,120,Coky Giedroyc,R,1,0,70632,3/4/2021,2021
Centigrade,Drama,English,Movie,Canada,120,Brendan Walsh,Unrated,0,0,16263,3/4/2021,2021
ANNE,Drama,Turkish,Series,Belgium,30,Steven Spielberg ,R,1,0,0,3/4/2021,2021
Moxie,Animation,English,Movie,Lithuania,120,Stephen Irwin,R,0,4,0,3/4/2021,2021
The ConHeartist,Comedy,Thai,Movie,Thailand,170,Mez Tharatorn,R,0,0,0,3/3/2021,2021
Gleboka woda,Drama,Polish,Series,Poland,30,Steven Spielberg ,R,2,4,0,3/3/2021,2021
Instynkt,Crime,Polish,Series,Poland,30,Steven Spielberg ,R,0,0,0,3/3/2021,2021
Only a Mother,Drama,Swedish,Movie,Lithuania,120,Alf Sjberg,R,2,1,0,3/3/2021,2021
Snowroller,Comedy,Swedish,Movie,Lithuania,120,Lasse berg,R,0,0,0,3/3/2021,2021
Sunes Summer,Comedy,Swedish,Movie,Lithuania,120,Jon Holmberg,R,0,7,0,3/3/2021,2021
The Invisible,Crime,English,Movie,Lithuania,120,David S Goyer,PG-13,0,1,20578909,3/3/2021,2021
The Simple Minded Murderer,Drama,Scanian,Movie,Lithuania,120,Hans Alfredson,R,7,2,0,3/3/2021,2021
The StigHelmer Story,Comedy,Swedish,Movie,Lithuania,120,Lasse berg,R,0,1,0,3/3/2021,2021
To Kill a Child,Short,Spanish,Movie,Lithuania,30,Jos Esteban Alenda,R,2,5,0,3/3/2021,2021
Joker,Crime,English,Movie,Lithuania,120,Todd Phillips,R,112,228,335451311,3/3/2021,2021
I,Action,English,Movie,Lithuania,120,George Lucas,PG,26,69,474544677,3/3/2021,2021
Harrys Daughters,Adventure,English,Movie,Lithuania,120,David Yates,PG-13,46,94,381409310,3/3/2021,2021
Gyllene Tider,Music,Swedish,Movie,Lithuania,120,Lasse Hallstrm,R,0,0,0,3/3/2021,2021
False As Water,Drama,Swedish,Movie,Lithuania,120,Hans Alfredson,R,3,0,0,3/3/2021,2021
Bang,Short,English,Movie,Lithuania,120,Robert Breer,R,0,0,0,3/3/2021,2021
A Guest Is Coming,Thriller,Swedish,Movie,Lithuania,120,Arne Mattsson,R,0,0,0,3/3/2021,2021
1939,Drama,Swedish,Movie,Lithuania,170,Gran Carmback,R,0,0,0,3/3/2021,2021
Girls und Panzer das Finale,Animation,Japanese,Series,Japan,30,Tsutomu Mizushima,R,0,0,0,3/2/2021,2021
Indoo Ki Jawani,Comedy,Hindi,Movie,Canada,120,Abir Sengupta,R,0,0,0,3/2/2021,2021
The Coroner,Crime,English,Series,Canada,30,Steven Spielberg ,TV-14,0,0,0,3/2/2021,2021
Brave New World,Drama,English,Series,Poland,30,Steven Spielberg ,TV-MA,0,0,0,3/2/2021,2021
Comrades Almost a Love Story,Drama,Cantonese,Movie,South Korea,120,Peter HoSun Chan,R,23,8,17676,3/1/2021,2021
The Closet,Comedy,French,Movie,South Korea,120,Francis Veber,R,1,1,6678894,3/1/2021,2021
The Mysterians,Action,Japanese,Movie,Japan,120,Ishir Honda,TV-Y7,0,0,975000,3/1/2021,2021
No Longer Human,Biography,Japanese,Movie,Japan,170,Mika Ninagawa,R,0,2,0,3/1/2021,2021
Repast,Drama,Japanese,Movie,Japan,120,Mikio Naruse,R,9,0,0,3/1/2021,2021
Sway,Crime,Japanese,Movie,Japan,120,Miwa Nishikawa,R,10,4,0,3/1/2021,2021
When a Woman Ascends the Stairs,Drama,Japanese,Movie,Japan,120,Mikio Naruse,Unrated,0,0,0,3/1/2021,2021
Yearning,Drama,Japanese,Movie,Japan,120,Mikio Naruse,R,1,0,0,3/1/2021,2021
Gorath,Action,Japanese,Movie,Japan,120,Ishir Honda,Unrated,0,0,0,3/1/2021,2021
